Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate,APF_Non_APF__c,Address__c,Asset_Description__c,Asset_Type__c,Loan_Id_Ext__c,Loan_Number__c,Market_Value__c,Property_City__c,Property_Type__c,Property_Value__c
"a04Ff0000008ll5IAA","005Ff000001F2fFIAS","false","a04Ff0000008ll5","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00671","a00Ff000003QWFSIA4","","","House",""
"a04Ff0000008ll6IAA","005Ff000001F2fFIAS","false","a04Ff0000008ll6","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF","Flat No.204  2nd Floor  Manish Residency  Sarakki28th Main Road  6th P,","","Property","HOU/DEL/0223/00678","a00Ff000003QWFZIA4","","JAYANAGAR","House",""
"a04Ff0000008ll7IAA","005Ff000001F2fFIAS","false","a04Ff0000008ll7","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00679","a00Ff000003QWFaIAO","","","House",""
"a04Ff0000008ll8IAA","005Ff000001F2fFIAS","false","a04Ff0000008ll8","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00681","a00Ff000003QWFcIAO","","","House",""
"a04Ff0000008ll9IAA","005Ff000001F2fFIAS","false","a04Ff0000008ll9","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00680","a00Ff000003QWFbIAO","","","House",""
"a04Ff0000008llAIAQ","005Ff000001F2fFIAS","false","a04Ff0000008llA","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00688","a00Ff000003QWFjIAO","","","House",""
"a04Ff0000008llBIAQ","005Ff000001F2fFIAS","false","a04Ff0000008llB","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00687","a00Ff000003QWFiIAO","","","House",""
"a04Ff0000008llCIAQ","005Ff000001F2fFIAS","false","a04Ff0000008llC","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00691","a00Ff000003QWFmIAO","","","House",""
"a04Ff0000008llDIAQ","005Ff000001F2fFIAS","false","a04Ff0000008llD","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF","H L No 9 Khata No 49 Konappan AgraharaBegur HobliBangalore,","","Property","HOU/DEL/0223/00690","a00Ff000003QWFlIAO","","JAYANAGAR","House",""
"a04Ff0000008llEIAQ","005Ff000001F2fFIAS","false","a04Ff0000008llE","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00689","a00Ff000003QWFkIAO","","","House",""
"a04Ff0000008llFIAQ","005Ff000001F2fFIAS","false","a04Ff0000008llF","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00693","a00Ff000003QWFoIAO","","","House",""
"a04Ff0000008llGIAQ","005Ff000001F2fFIAS","false","a04Ff0000008llG","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00692","a00Ff000003QWFnIAO","","","House",""
"a04Ff0000008llHIAQ","005Ff000001F2fFIAS","false","a04Ff0000008llH","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00123","a00Ff000003QOt2IAG","","","House",""
"a04Ff0000008llIIAQ","005Ff000001F2fFIAS","false","a04Ff0000008llI","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00580","a00Ff000003QPKVIA4","","","House",""
"a04Ff0000008llJIAQ","005Ff000001F2fFIAS","false","a04Ff0000008llJ","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF","NO.320/3,SIDDAIAH LAYOUT,NEAR NANDI TOYATA SERVICE CENTRE,HOSUR MAIN ROAD,BOMMANAHALLI VILLAGE,BANGALORE,KARNATAKA,560068, BOMMANAHALLI VILLAGE, Karnataka, 560068,","","Property","HOU/DEL/0223/00047","a00Ff000003QSOjIAO","","JAYANAGAR","House",""
"a04Ff0000008llKIAQ","005Ff000001F2fFIAS","false","a04Ff0000008llK","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF","FLAT NO.M-1105,MANTRI WEBCITY M-BLOCK 11TH FLOOR KOTHNUR VILLAGE K R PURAM,HENNUR MAIN ROAD,BANGALORE,KARNATAKA,560077, HENNUR MAIN ROAD, Karnataka, 560077,","","Property","HOU/DEL/0223/00049","a00Ff000003QSOlIAO","","JAYANAGAR","House",""
"a04Ff0000008llLIAQ","005Ff000001F2fFIAS","false","a04Ff0000008llL","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF","FLAT NO.1205,M BLOCK,12TH FLOOR,MANTRI WEBCITY,NAGARESHWARA NAGENAHALLI,KOTHANUR,BANGALORE,KARNATAKA,560077, KOTHANUR, Karnataka, 560077,","","Property","HOU/DEL/0223/00048","a00Ff000003QSOkIAO","","JAYANAGAR","House",""
"a04Ff0000008llMIAQ","005Ff000001F2fFIAS","false","a04Ff0000008llM","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00592","a00Ff000003QPKhIAO","","","House",""
"a04Ff0000008llNIAQ","005Ff000001F2fFIAS","false","a04Ff0000008llN","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00127","a00Ff000003QOt6IAG","","","House",""
"a04Ff0000008llOIAQ","005Ff000001F2fFIAS","false","a04Ff0000008llO","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00053","a00Ff000003QSOpIAO","","","House",""
"a04Ff0000008llPIAQ","005Ff000001F2fFIAS","false","a04Ff0000008llP","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF","SHOP NI.1,AJMERA AVENUE,DODDATHOGUR ,ELECTRONIC CITY,BANGALORE,KARNATAKA,560100, ELECTRONIC CITY, Karnataka, 560100,","","Property","HOU/DEL/0223/00131","a00Ff000003QOtAIAW","30139484.00","JAYANAGAR","House","30139484.00"
"a04Ff0000008llQIAQ","005Ff000001F2fFIAS","false","a04Ff0000008llQ","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF","SHOP NO-10,AJMERA AVENUE DODDATHOGURA ELECTRONIC CITY PHASE - 1,ELECTRONIC CITY,BANGALORE,KARNATAKA,560100, ELECTRONIC CITY, Karnataka, 560100,","","Property","HOU/DEL/0223/00132","a00Ff000003QOtBIAW","","JAYANAGAR","House",""
"a04Ff0000008llRIAQ","005Ff000001F2fFIAS","false","a04Ff0000008llR","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00129","a00Ff000003QOt8IAG","","","House",""
"a04Ff0000008llSIAQ","005Ff000001F2fFIAS","false","a04Ff0000008llS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00128","a00Ff000003QOt7IAG","","","House",""
"a04Ff0000008llTIAQ","005Ff000001F2fFIAS","false","a04Ff0000008llT","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00173","a00Ff000003QOtqIAG","","","House",""
"a04Ff0000008llUIAQ","005Ff000001F2fFIAS","false","a04Ff0000008llU","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00176","a00Ff000003QOttIAG","","","House",""
"a04Ff0000008llVIAQ","005Ff000001F2fFIAS","false","a04Ff0000008llV","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF","SITE. 59&60, NEAR BY BGS HOSPITAL, MYLASANDRA VILLAGE,,KENGERI HOLBI,BANGALORE,KARNATAKA,560060, KENGERI HOLBI, Karnataka, 560060,","","Property","HOU/DEL/0223/00596","a00Ff000003QPKlIAO","","JAYANAGAR","House",""
"a04Ff0000008llWIAQ","005Ff000001F2fFIAS","false","a04Ff0000008llW","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00590","a00Ff000003QPKfIAO","","","House",""
"a04Ff0000008llXIAQ","005Ff000001F2fFIAS","false","a04Ff0000008llX","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00165","a00Ff000003QOtiIAG","","","House",""
"a04Ff0000008llYIAQ","005Ff000001F2fFIAS","false","a04Ff0000008llY","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00166","a00Ff000003QOtjIAG","","","House",""
"a04Ff0000008llZIAQ","005Ff000001F2fFIAS","false","a04Ff0000008llZ","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF","SITE NO.1486,40TH CROSS,4TH T BLOCK,,JAYANAGAR,BANGALORE,KARNATAKA,560041, JAYANAGAR, Karnataka, 560041,","","Property","HOU/DEL/0223/00050","a00Ff000003QSOmIAO","","JAYANAGAR","House",""
"a04Ff0000008llaIAA","005Ff000001F2fFIAS","false","a04Ff0000008lla","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00126","a00Ff000003QOt5IAG","","","House",""
"a04Ff0000008llbIAA","005Ff000001F2fFIAS","false","a04Ff0000008llb","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00694","a00Ff000003QWFpIAO","","","House",""
"a04Ff0000008llcIAA","005Ff000001F2fFIAS","false","a04Ff0000008llc","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00140","a00Ff000003QOtJIAW","","","House",""
"a04Ff0000008lldIAA","005Ff000001F2fFIAS","false","a04Ff0000008lld","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00593","a00Ff000003QPKiIAO","","","House",""
"a04Ff0000008lleIAA","005Ff000001F2fFIAS","false","a04Ff0000008lle","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00594","a00Ff000003QPKjIAO","","","House",""
"a04Ff0000008llfIAA","005Ff000001F2fFIAS","false","a04Ff0000008llf","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00597","a00Ff000003QPKmIAO","","","House",""
"a04Ff0000008llgIAA","005Ff000001F2fFIAS","false","a04Ff0000008llg","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00135","a00Ff000003QOtEIAW","","","House",""
"a04Ff0000008llhIAA","005Ff000001F2fFIAS","false","a04Ff0000008llh","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00167","a00Ff000003QOtkIAG","","","House",""
"a04Ff0000008lliIAA","005Ff000001F2fFIAS","false","a04Ff0000008lli","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF","CHAMUNDI COMPLEX, SURVEY NO 26, HONGASANDRA VILLAGE,,BEGUR HOBLI,,BANGALORE,KARNATAKA,560068, BEGUR HOBLI,, Karnataka, 560068,","","Property","HOU/DEL/0223/00579","a00Ff000003QPKUIA4","","JAYANAGAR","House",""
"a04Ff0000008lljIAA","005Ff000001F2fFIAS","false","a04Ff0000008llj","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00134","a00Ff000003QOtDIAW","","","House",""
"a04Ff0000008llkIAA","005Ff000001F2fFIAS","false","a04Ff0000008llk","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00595","a00Ff000003QPKkIAO","","","House",""
"a04Ff0000008lllIAA","005Ff000001F2fFIAS","false","a04Ff0000008lll","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF","NO.208 & 209,100FT ROAD, NEAR ITTAMADU JUNCTION,3RD PHASE, BSK 3RD STG,BSK 3RD STAGE,BANGALORE,KARNATAKA,560085, BSK 3RD STAGE, Karnataka, 560085,","","Property","HOU/DEL/0223/00601","a00Ff000003QPKqIAO","","JAYANAGAR","House",""
"a04Ff0000008llmIAA","005Ff000001F2fFIAS","false","a04Ff0000008llm","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF","NO.485/75, 38TH CROSS,OPP.JSS COLLEGE,JAYANAGAR 8TH BLOCK,BANGALORE,KARNATAKA,560082, JAYANAGAR 8TH BLOCK, Karnataka, 560082,","","Property","HOU/DEL/0223/00598","a00Ff000003QPKnIAO","","JAYANAGAR","House",""
"a04Ff0000008llnIAA","005Ff000001F2fFIAS","false","a04Ff0000008lln","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00599","a00Ff000003QPKoIAO","","","House",""
"a04Ff0000008lloIAA","005Ff000001F2fFIAS","false","a04Ff0000008llo","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00591","a00Ff000003QPKgIAO","","","House",""
"a04Ff0000008llpIAA","005Ff000001F2fFIAS","false","a04Ff0000008llp","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00125","a00Ff000003QOt4IAG","","","House",""
"a04Ff0000008llqIAA","005Ff000001F2fFIAS","false","a04Ff0000008llq","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00139","a00Ff000003QOtIIAW","","","House",""
"a04Ff0000008llrIAA","005Ff000001F2fFIAS","false","a04Ff0000008llr","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00124","a00Ff000003QOt3IAG","","","House",""
"a04Ff0000008llsIAA","005Ff000001F2fFIAS","false","a04Ff0000008lls","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF","PLOT NO-62, BLOCK-B,SECTOR 48,NOIDA,UTTAR PRADESH,201301, SECTOR 48, Uttar Pradesh, 201301,","","Property","HOU/DEL/0223/00054","a00Ff000003QSOqIAO","","GURGAON","House",""
"a04Ff0000008lltIAA","005Ff000001F2fFIAS","false","a04Ff0000008llt","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00179","a00Ff000003QOtwIAG","","","House",""
"a04Ff0000008lluIAA","005Ff000001F2fFIAS","false","a04Ff0000008llu","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00583","a00Ff000003QPKYIA4","","","Residential",""
"a04Ff0000008llvIAA","005Ff000001F2fFIAS","false","a04Ff0000008llv","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00582","a00Ff000003QPKXIA4","","","House",""
"a04Ff0000008llwIAA","005Ff000001F2fFIAS","false","a04Ff0000008llw","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00130","a00Ff000003QOt9IAG","","","House",""
"a04Ff0000008llxIAA","005Ff000001F2fFIAS","false","a04Ff0000008llx","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF","SITE #47 & 47/A 17TH MAIN ROAD 4TH BLOCK,KORAMANGALA,BANGALORE,KARNATAKA,560034, KORAMANGALA, Karnataka, 560034,","","Property","HOU/DEL/0223/00588","a00Ff000003QPKdIAO","","JAYANAGAR","House",""
"a04Ff0000008llyIAA","005Ff000001F2fFIAS","false","a04Ff0000008lly","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00584","a00Ff000003QPKZIA4","","","House",""
"a04Ff0000008llzIAA","005Ff000001F2fFIAS","false","a04Ff0000008llz","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF","SY NO.94/3 & SY NO. 42/22B/PI ,SOUKYA ROAD,KORALUR VILLAGE,TIRUMAL SET,KASABA HOBLI,BANGALORE,KARNATAKA,560067, KASABA HOBLI, Karnataka, 560067,","","Property","HOU/DEL/0223/00585","a00Ff000003QPKaIAO","","JAYANAGAR","House",""
"a04Ff0000008lm0IAA","005Ff000001F2fFIAS","false","a04Ff0000008lm0","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00589","a00Ff000003QPKeIAO","","","House",""
"a04Ff0000008lm1IAA","005Ff000001F2fFIAS","false","a04Ff0000008lm1","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF","NO.47 & 47/A 17TH MAIN ROAD KORAMANGALA 4TH BLOCK,KORAMANGALA,BANGALORE,KARNATAKA,560034, KORAMANGALA, Karnataka, 560034,","","Property","HOU/DEL/0223/00586","a00Ff000003QPKbIAO","","JAYANAGAR","House",""
